--- Scan at 2026-02-14 11:42:39 ---
PID: 0 | Name: System Idle Process | Threads: 36
PID: 4 | Name: System | Threads: 361
PID: 188 | Name:  | Threads: 0
PID: 232 | Name: Registry | Threads: 4
PID: 724 | Name: chrome.exe | Threads: 46
PID: 812 | Name: smss.exe | Threads: 2
PID: 1048 | Name: csrss.exe | Threads: 17
PID: 1132 | Name: wininit.exe | Threads: 1
PID: 1140 | Name: csrss.exe | Threads: 16
PID: 1200 | Name: winlogon.exe | Threads: 4
PID: 1216 | Name: msedgewebview2.exe | Threads: 7
PID: 1256 | Name: chrome.exe | Threads: 19
PID: 1276 | Name: services.exe | Threads: 7
PID: 1284 | Name: OmenCommandCenterBackground.exe | Threads: 108
PID: 1288 | Name: LsaIso.exe | Threads: 1
PID: 1296 | Name: svchost.exe | Threads: 2
PID: 1304 | Name: lsass.exe | Threads: 12
PID: 1320 | Name: svchost.exe | Threads: 5
PID: 1444 | Name: svchost.exe | Threads: 13
PID: 1452 | Name: Code.exe | Threads: 25
PID: 1476 | Name: fontdrvhost.exe | Threads: 5
PID: 1484 | Name: fontdrvhost.exe | Threads: 5
PID: 1520 | Name: WUDFHost.exe | Threads: 6
PID: 1532 | Name: Code.exe | Threads: 26
PID: 1604 | Name: svchost.exe | Threads: 4
PID: 1616 | Name: svchost.exe | Threads: 12
PID: 1672 | Name: svchost.exe | Threads: 6
PID: 1680 | Name: WUDFHost.exe | Threads: 17
PID: 1812 | Name: WUDFHost.exe | Threads: 10
PID: 1820 | Name: dwm.exe | Threads: 18
PID: 1948 | Name: svchost.exe | Threads: 2
PID: 1956 | Name: svchost.exe | Threads: 6
PID: 1988 | Name: svchost.exe | Threads: 4
PID: 2000 | Name: svchost.exe | Threads: 3
PID: 2052 | Name: svchost.exe | Threads: 6
PID: 2152 | Name: svchost.exe | Threads: 11
PID: 2236 | Name: IntelCpHDCPSvc.exe | Threads: 3
PID: 2244 | Name: WUDFHost.exe | Threads: 5
PID: 2256 | Name: svchost.exe | Threads: 17
PID: 2280 | Name: svchost.exe | Threads: 9
PID: 2292 | Name: RuntimeBroker.exe | Threads: 20
PID: 2324 | Name: svchost.exe | Threads: 7
PID: 2352 | Name: svchost.exe | Threads: 3
PID: 2396 | Name: svchost.exe | Threads: 5
PID: 2412 | Name: svchost.exe | Threads: 13
PID: 2468 | Name: svchost.exe | Threads: 3
PID: 2552 | Name: Code.exe | Threads: 27
PID: 2564 | Name: chrome.exe | Threads: 17
PID: 2728 | Name: svchost.exe | Threads: 4
PID: 2796 | Name: svchost.exe | Threads: 7
PID: 2848 | Name: msedgewebview2.exe | Threads: 24
PID: 2964 | Name: DesktopExtension.exe | Threads: 13
PID: 2980 | Name: serial-discovery.exe | Threads: 9
PID: 2992 | Name: svchost.exe | Threads: 7
PID: 3228 | Name: svchost.exe | Threads: 2
PID: 3244 | Name: svchost.exe | Threads: 8
PID: 3280 | Name: powershell.exe | Threads: 9
PID: 3296 | Name: svchost.exe | Threads: 6
PID: 3304 | Name: svchost.exe | Threads: 5
PID: 3312 | Name: svchost.exe | Threads: 5
PID: 3388 | Name: svchost.exe | Threads: 8
PID: 3428 | Name: MemCompression | Threads: 66
PID: 3476 | Name: svchost.exe | Threads: 3
PID: 3504 | Name: steam.exe | Threads: 38
PID: 3532 | Name: DiagsCap.exe | Threads: 3
PID: 3540 | Name: NetworkCap.exe | Threads: 3
PID: 3548 | Name: AppHelperCap.exe | Threads: 3
PID: 3556 | Name: SysInfoCap.exe | Threads: 20
PID: 3564 | Name: svchost.exe | Threads: 3
PID: 3572 | Name: svchost.exe | Threads: 6
PID: 3580 | Name: TouchpointAnalyticsClientService.exe | Threads: 10
PID: 3684 | Name: svchost.exe | Threads: 15
PID: 3844 | Name: svchost.exe | Threads: 9
PID: 3868 | Name: svchost.exe | Threads: 9
PID: 3988 | Name: browserhost.exe | Threads: 38
PID: 4080 | Name: svchost.exe | Threads: 5
PID: 4244 | Name: svchost.exe | Threads: 5
PID: 4300 | Name: svchost.exe | Threads: 5
PID: 4324 | Name: msedgewebview2.exe | Threads: 7
PID: 4392 | Name: chrome.exe | Threads: 13
PID: 4404 | Name: sihost.exe | Threads: 14
PID: 4444 | Name: svchost.exe | Threads: 5
PID: 4452 | Name: svchost.exe | Threads: 13
PID: 4464 | Name: svchost.exe | Threads: 8
PID: 4552 | Name: SearchIndexer.exe | Threads: 11
PID: 4564 | Name: svchost.exe | Threads: 5
PID: 4572 | Name: svchost.exe | Threads: 3
PID: 4616 | Name: steamwebhelper.exe | Threads: 23
PID: 4652 | Name: svchost.exe | Threads: 11
PID: 4664 | Name: dasHost.exe | Threads: 4
PID: 4708 | Name: BlueStacksServices.exe | Threads: 15
PID: 4728 | Name: taskhostw.exe | Threads: 8
PID: 4760 | Name: wlanext.exe | Threads: 2
PID: 4788 | Name: SystemOptimizer.exe | Threads: 12
PID: 4824 | Name: OmenInstallMonitor.exe | Threads: 8
PID: 4852 | Name: svchost.exe | Threads: 8
PID: 4876 | Name: conhost.exe | Threads: 3
PID: 4940 | Name: spoolsv.exe | Threads: 7
PID: 4968 | Name: svchost.exe | Threads: 4
PID: 4996 | Name: svchost.exe | Threads: 3
PID: 5004 | Name: OverlayHelper.exe | Threads: 21
PID: 5212 | Name: SECOCL64.exe | Threads: 3
PID: 5224 | Name: Code.exe | Threads: 8
PID: 5240 | Name: chrome.exe | Threads: 8
PID: 5264 | Name: svchost.exe | Threads: 3
PID: 5388 | Name: svchost.exe | Threads: 7
PID: 5412 | Name: svchost.exe | Threads: 3
PID: 5452 | Name: svchost.exe | Threads: 3
